rootfs on / type rootfs (rw)
squashfuse on /data/onboard/.apps/Sanki/Sanki type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
sysfs on /data/onboard/.apps/Sanki/Sanki/sys type sysfs (rw,nosuid,relatime)
tmpfs on /data/onboard/.apps/Sanki/Sanki/dev type tmpfs (ro,nosuid,relatime,size=64k)
proc on /data/onboard/.apps/Sanki/Sanki/proc type proc (rw,nosuid,relatime)
tmpfs on /data/onboard/.apps/Sanki/Sanki/etc type tmpfs (ro,nosuid,relatime,size=64k)
tmpfs on /data/onboard/.apps/Sanki/Sanki/app-temp type tmpfs (rw,nosuid,relatime,size=8192k)
tmpfs on /data/onboard/.apps/Sanki/Sanki/system-lib type tmpfs (rw,nosuid,relatime,size=64k)
tmpfs on /data/onboard/.apps/Sanki/Sanki/system-bin type tmpfs (rw,nosuid,relatime,size=64k)
fuse-overlayfs on /data/onboard/.apps/Sanki/Sanki/system-lib/lib type fuse.fuse-overlayfs (rw,nosuid,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
squashfuse on /data/onboard/.apps/Sanki/Sanki/system-lib/qt type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
fuse-overlayfs on /data/onboard/.apps/Sanki/Sanki/system-lib/qt/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
fuse-overlayfs on /data/onboard/.apps/Sanki/Sanki/system-bin/busybox type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
/dev/loop0 on /data/onboard/.apps/Sanki/Sanki/app-data type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
/dev/loop0 on /kobo/mnt/onboard/onboard type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
squashfuse on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
sysfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/sys type sysfs (rw,nosuid,relatime)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/dev type tmpfs (ro,nosuid,relatime,size=64k)
proc on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/proc type proc (rw,nosuid,relatime)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/etc type tmpfs (ro,nosuid,relatime,size=64k)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/app-temp type tmpfs (rw,nosuid,relatime,size=8192k)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-lib type tmpfs (rw,nosuid,relatime,size=64k)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-lib/lib type fuse.fuse-overlayfs (rw,nosuid,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
squashfuse on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-lib/qt type fuse.squashfuse (rw,nosuid,nodev,relatime,user_id=0,group_id=0,allow_other)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-lib/qt/plugins/platforms/libkobo.so type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
tmpfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-bin type tmpfs (rw,nosuid,relatime,size=64k)
fuse-overlayfs on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/system-bin/busybox type fuse.fuse-overlayfs (ro,nodev,noatime,user_id=0,group_id=0,default_permissions,allow_other)
/dev/loop0 on /kobo/mnt/onboard/onboard/.apps/Sanki/Sanki/app-data type vfat (rw,nosuid,nodev,noexec,relatime,fmask=0022,dmask=0022,codepage=cp437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
